2014-05-19-06:34:03,80 0.0000
2014-05-19-06:34:08,81 0.0000
2014-05-19-06:34:13,81 0.0000
2014-05-19-06:34:18,82 0.0000
2014-05-19-06:34:23,82 0.0000
2014-05-19-06:34:28,82 0.0000
2014-05-19-06:34:33,83 0.0000
2014-05-19-06:34:38,83 0.0000
2014-05-19-06:34:43,83 0.0000
2014-05-19-06:34:48,84 0.0000
2014-05-19-06:34:53,84 0.0000
2014-05-19-06:34:58,85 0.0000
2014-05-19-06:35:03,85 0.0000
2014-05-19-06:35:08,85 0.0000
2014-05-19-06:35:13,86 0.0000
2014-05-19-06:35:18,86 0.0000
2014-05-19-06:35:23,87 0.0000
2014-05-19-06:35:28,87 0.0000
2014-05-19-06:35:33,87 0.0000
2014-05-19-06:35:38,88 0.0000
2014-05-19-06:35:43,88 0.0000
2014-05-19-06:35:48,89 0.0000
2014-05-19-06:35:53,89 0.0000
2014-05-19-06:35:58,89 0.0000
2014-05-19-06:36:03,90 0.0000
2014-05-19-06:36:08,90 0.0000
2014-05-19-06:36:13,91 0.0000
2014-05-19-06:36:18,91 0.0000
2014-05-19-06:36:23,91 0.0000
2014-05-19-06:36:28,92 0.0000
2014-05-19-06:36:33,92 0.0000
2014-05-19-06:36:38,92 0.0000
2014-05-19-06:36:43,93 0.0000
2014-05-19-06:36:48,93 0.0000
2014-05-19-06:36:53,94 0.0000
2014-05-19-06:36:58,94 0.0000
2014-05-19-06:37:03,94 0.0000
2014-05-19-06:37:08,95 0.0000
2014-05-19-06:37:13,95 0.0000
2014-05-19-06:37:18,96 0.0000
2014-05-19-06:37:23,96 0.0000
2014-05-19-06:37:28,96 0.0000
2014-05-19-06:37:33,97 0.0000
2014-05-19-06:37:38,97 0.0000
2014-05-19-06:37:43,98 0.0000
2014-05-19-06:37:48,98 0.0000
2014-05-19-06:37:53,98 0.0000
2014-05-19-06:37:58,99 0.0000
2014-05-19-06:38:03,99 0.0000
2014-05-19-06:38:09,00 0.0000
2014-05-19-06:38:14,00 0.0000
2014-05-19-06:38:19,00 0.0000
2014-05-19-06:38:24,01 0.0000
2014-05-19-06:38:29,01 0.0000
2014-05-19-06:38:34,01 0.0000
2014-05-19-06:38:39,02 0.0000
2014-05-19-06:38:44,02 0.0000
2014-05-19-06:38:49,03 0.0000
2014-05-19-06:38:54,03 0.0000
2014-05-19-06:38:59,03 0.0000
2014-05-19-06:39:04,04 0.0000
2014-05-19-06:39:09,04 0.0000
2014-05-19-06:39:14,05 0.0000
2014-05-19-06:39:19,05 0.0000
2014-05-19-06:39:24,05 0.0000
2014-05-19-06:39:29,06 0.0000
2014-05-19-06:39:34,06 0.0000
2014-05-19-06:39:39,07 0.0000
2014-05-19-06:39:44,07 0.0000
2014-05-19-06:39:49,07 0.0000
2014-05-19-06:39:54,08 0.0000
2014-05-19-06:39:59,08 0.0000
2014-05-19-06:40:04,09 0.0000
2014-05-19-06:40:09,09 0.0000
2014-05-19-06:40:14,09 0.0000
2014-05-19-06:40:19,10 0.0000
2014-05-19-06:40:24,10 0.0000
2014-05-19-06:40:29,10 0.0000
2014-05-19-06:40:34,11 0.0000
2014-05-19-06:40:39,11 0.0000
2014-05-19-06:40:44,12 0.0000
2014-05-19-06:40:49,12 0.0000
2014-05-19-06:40:54,12 0.0000
2014-05-19-06:40:59,13 0.0000
2014-05-19-06:41:04,13 0.0000
2014-05-19-06:41:09,14 0.0000
2014-05-19-06:41:14,14 0.0000
2014-05-19-06:41:19,14 0.0000
2014-05-19-06:41:24,15 0.0000
2014-05-19-06:41:29,15 0.0000
2014-05-19-06:41:34,16 0.0000
2014-05-19-06:41:39,16 0.0000
2014-05-19-06:41:44,16 0.0000
2014-05-19-06:41:49,17 0.0000
2014-05-19-06:41:54,17 0.0000
2014-05-19-06:41:59,18 0.0000
2014-05-19-06:42:04,18 0.0000
2014-05-19-06:42:09,18 0.0000
2014-05-19-06:42:14,19 0.0000
2014-05-19-06:42:19,19 0.0000
2014-05-19-06:42:24,19 0.0000
2014-05-19-06:42:29,20 0.0000
2014-05-19-06:42:34,20 0.0000
2014-05-19-06:42:39,21 0.0000
2014-05-19-06:42:44,21 0.0000
2014-05-19-06:42:49,21 0.0000
2014-05-19-06:42:54,22 0.0000
2014-05-19-06:42:59,22 0.0000
2014-05-19-06:43:04,23 0.0000
2014-05-19-06:43:09,23 0.0000
2014-05-19-06:43:14,23 0.0000
2014-05-19-06:43:19,24 0.0000
2014-05-19-06:43:24,24 0.0000
2014-05-19-06:43:29,25 0.0000
2014-05-19-06:43:34,25 0.0000
2014-05-19-06:43:39,25 0.0000
2014-05-19-06:43:44,26 0.0000
2014-05-19-06:43:49,26 0.0000
2014-05-19-06:43:54,27 0.0000
2014-05-19-06:43:59,27 0.0000
2014-05-19-06:44:04,27 0.0000
2014-05-19-06:44:09,28 0.0000
2014-05-19-06:44:14,28 0.0000
2014-05-19-06:44:19,28 0.0000
2014-05-19-06:44:24,29 0.0000
2014-05-19-06:44:29,29 0.0000
2014-05-19-06:44:34,30 0.0000
2014-05-19-06:44:39,30 0.0000
2014-05-19-06:44:44,30 0.0000
2014-05-19-06:44:49,31 0.0000
2014-05-19-06:44:54,31 0.0000
2014-05-19-06:44:59,32 0.0000
2014-05-19-06:45:04,32 0.0000
2014-05-19-06:45:09,32 0.0000
2014-05-19-06:45:14,33 0.0000
2014-05-19-06:45:19,34 0.0000
